ced,LabTPP,Labwin
Adelaide,58.18,1
Aston,39.87,0
Ballarat,60.98,1
Banks,43.74,0
Barker,31.06,0
Barton,59.41,1
Bass,49.59,0
Bean,57.52,1
Bendigo,59.04,1
Bennelong,43.09,0
Berowra,34.35,0
Blair,51.21,1
Blaxland,64.72,1
Bonner,42.59,0
Boothby,48.62,0
Bowman,39.76,0
Braddon,46.91,0
Bradfield,33.44,0
Brand,56.66,1
Brisbane,45.08,0
Bruce,64.15,1
Burt,54.99,1
Calare,36.71,0
Calwell,68.8,1
Canberra,67.08,1
Canning,38.45,0
Capricornia,37.65,0
Casey,45.36,0
Chifley,62.37,1
Chisholm,49.43,0
Clark,66.17,1
Cook,30.98,0
Cooper,76.32,1
Corangamite,51.07,1
Corio,60.32,1
Cowan,50.83,1
Cowper,38.12,0
Cunningham,63.41,1
Curtin,35.67,0
Dawson,35.39,0
Deakin,45.22,0
Dickson,45.36,0
Dobell,51.5,1
Dunkley,52.74,1
Durack,35.24,0
Eden-Monaro,50.85,1
Fadden,35.82,0
Fairfax,36.56,0
Farrer,30.17,0
Fenner,60.56,1
Fisher,37.3,0
Flinders,44.36,0
Flynn,41.34,0
Forde,41.4,0
Forrest,35.44,0
Fowler,63.99,1
Franklin,62.21,1
Fraser,64.18,1
Fremantle,56.92,1
Gellibrand,64.83,1
Gilmore,52.61,1
Gippsland,33.33,0
Goldstein,42.21,0
Gorton,65.36,1
Grayndler,73.83,1
Greenway,52.8,1
Grey,36.68,0
Griffith,52.86,1
Groom,29.52,0
Hasluck,44.61,0
Herbert,41.64,0
Higgins,46.12,0
Hindmarsh,56.54,1
Hinkler,35.5,0
Holt,58.7,1
Hotham,55.91,1
Hughes,40.15,0
Hume,37.01,0
Hunter,52.98,1
Indi,37.27,0
Isaacs,56.43,1
Jagajaga,56.57,1
Kennedy,35.49,0
Kingsford Smith,58.81,1
Kingston,61.94,1
Kooyong,43.32,0
La Trobe,45.51,0
Lalor,62.41,1
Leichhardt,45.83,0
Lilley,50.64,1
Lindsay,44.96,0
Lingiari,55.46,1
Longman,46.72,0
Lyne,34.83,0
Lyons,55.18,1
Macarthur,58.4,1
Mackellar,36.78,0
Macnamara,56.25,1
Macquarie,50.19,1
Makin,59.72,1
Mallee,33.77,0
Maranoa,24.58,0
Maribyrnong,61.2,1
Mayo,47.46,0
McEwen,55.02,1
McMahon,56.64,1
McPherson,37.8,0
Melbourne,67.06,1
Menzies,42.47,0
Mitchell,31.37,0
Monash,42.64,0
Moncrieff,34.64,0
Moore,38.35,0
Moreton,51.9,1
New England,32.37,0
Newcastle,63.83,1
Nicholls,29.97,0
North Sydney,40.73,0
O'Connor,35.52,0
Oxley,56.39,1
Page,40.55,0
Parkes,33.09,0
Parramatta,53.5,1
Paterson,55.04,1
Pearce,42.48,0
Perth,54.93,1
Petrie,41.6,0
Rankin,56.44,1
Reid,46.82,0
Richmond,54.08,1
Riverina,30.52,0
Robertson,45.76,0
Ryan,43.97,0
Scullin,71.66,1
Shortland,54.45,1
Solomon,53.08,1
Spence,64.13,1
Stirling,44.35,0
Sturt,43.13,0
Swan,47.31,0
Sydney,68.67,1
Tangney,38.53,0
Wannon,39.62,0
Warringah,47.88,0
Watson,63.52,1
Wentworth,40.15,0
Werriwa,55.47,1
Whitlam,60.91,1
Wide Bay,36.85,0
Wills,75.85,1
Wright,35.42,0
